wrf_date;data;stn_id;temp;rain;windU;windV;pressure
21.12.2023;21.12.2023 00:00;28976;-2.3;0;5.6;7;1432.5
21.12.2023;21.12.2023 03:00;28976;-1;0;8.4;5.9;1524.6
21.12.2023;21.12.2023 06:00;28976;0.1;0;9.1;3;1715.1
21.12.2023;21.12.2023 09:00;28976;0.1;0.1;7.6;2.7;1878.1
21.12.2023;21.12.2023 12:00;28976;-0.1;0;7.2;3;2140
21.12.2023;21.12.2023 15:00;28976;0.2;0;7.3;4.3;2287.2
21.12.2023;21.12.2023 18:00;28976;0.5;0;7.1;4.7;2315.4
21.12.2023;21.12.2023 21:00;28976;-0.9;0;6.9;5.6;2407.2
21.12.2023;22.12.2023 00:00;28976;-1.5;0;6.2;5;2528.4
21.12.2023;22.12.2023 03:00;28976;-1.9;0;5;4.7;2598.4
21.12.2023;22.12.2023 06:00;28976;-3.3;0;3.3;4.9;2645.8
21.12.2023;22.12.2023 09:00;28976;-4;0;1.7;4.8;2582.6
21.12.2023;22.12.2023 12:00;28976;-4.8;0;0.5;4.9;2616.1
21.12.2023;22.12.2023 15:00;28976;-4.8;0;-1.4;5.1;2500
21.12.2023;22.12.2023 18:00;28976;-4.6;0;-2.2;4.6;2333.4
21.12.2023;22.12.2023 21:00;28976;-4.2;0;-3;4.7;2179
21.12.2023;23.12.2023 00:00;28976;-4;0;-4;5;1956.5
21.12.2023;23.12.2023 03:00;28976;-5.1;0;-4.2;5.1;1766.7
21.12.2023;23.12.2023 06:00;28976;-5.3;0;-4.1;5.7;1565.5
21.12.2023;23.12.2023 09:00;28976;-5.3;0;-3.3;5.9;1363.2
21.12.2023;23.12.2023 12:00;28976;-6.3;0;-3.1;5.3;1286.7
21.12.2023;23.12.2023 15:00;28976;-6.5;0;-2.4;5.7;1212.8
21.12.2023;23.12.2023 18:00;28976;-8.1;0;-1;5.8;1090.4
21.12.2023;23.12.2023 21:00;28976;-9.5;0;-0.6;5.1;1053.1
21.12.2023;24.12.2023 00:00;28976;-10.4;0;-1.1;4.9;1006.6
21.12.2023;24.12.2023 03:00;28976;-9.8;0;-0.2;4.8;995.3
21.12.2023;24.12.2023 06:00;28976;-8.2;0;0.5;4.9;1003.1
21.12.2023;24.12.2023 09:00;28976;-4.1;0;0.2;5.4;934.6
21.12.2023;24.12.2023 12:00;28976;-6.4;0;-1.4;5.9;918.4
21.12.2023;24.12.2023 15:00;28976;-5.7;0;-1.3;6.5;930.5
21.12.2023;24.12.2023 18:00;28976;-6.7;0;-1.5;5.9;848.8
21.12.2023;24.12.2023 21:00;28976;-7;0;-2.3;6.1;771.6
21.12.2023;25.12.2023 00:00;28976;-6.5;0;-3.4;6.2;601.6
21.12.2023;25.12.2023 03:00;28976;-5.8;0;-2.9;7.9;401.4
21.12.2023;25.12.2023 06:00;28976;-3.9;0;0.3;8.9;374.2
21.12.2023;25.12.2023 09:00;28976;-0.5;0.8;3.6;9.8;317.2
21.12.2023;25.12.2023 12:00;28976;-2.9;0;9.6;6.5;776.2
21.12.2023;25.12.2023 15:00;28976;-4.4;0;6.4;5.4;1089.2
