wrf_date;data;stn id;temp;rain;windU;windV;pressure
2024-03-10;2024.03.10 12:00:00;28676;.6,7;0;2.6;2;1013
2024-03-10;2024.03.10 13:00:00;28676;.10,3;0;2.4;3.3;1013,1
2024-03-10;2024.03.10 14:00:00;28676;.12,6;0;2.5;4;1014,1
2024-03-10;2024.03.10 15:00:00;28676;.14,3;0;2.5;3.8;1014,1
2024-03-10;2024.03.10 16:00:00;28676;.15,4;0;2.2;3.1;1014,4
2024-03-10;2024.03.10 17:00:00;28676;.14,4;0;1.8;2.8;1014,4
2024-03-10;2024.03.10 18:00:00;28676;.13,5;0,1;1.4;2.6;1014,5
2024-03-10;2024.03.10 19:00:00;28676;.13,7;0,3;1.6;2.9;1014,4
2024-03-10;2024.03.10 20:00:00;28676;.13,8;0,5;1.5;3.1;1014,6
2024-03-10;2024.03.10 21:00:00;28676;.13,9;0,7;1.7;3.1;1014,5
2024-03-10;2024.03.10 22:00:00;28676;.14,1;0,8;2;3.1;1014,6
2024-03-10;2024.03.10 23:00:00;28676;.14,7;0,9;2.4;3.1;1014,8
2024-03-10;2024.03.11 00:00:00;28676;.16,4;0,9;2.6;3.3;1015,3
2024-03-10;2024.03.11 01:00:00;28676;.17,7;0,9;2.7;3.2;1015,7
2024-03-10;2024.03.11 02:00:00;28676;.18,6;1;2.9;3.2;1016,3
2024-03-10;2024.03.11 03:00:00;28676;.18,7;1;2.7;2.8;1017
2024-03-10;2024.03.11 04:00:00;28676;.17,1;1;2.1;2.7;1017,6
2024-03-10;2024.03.11 05:00:00;28676;.14,7;1;1.7;2.9;1018
2024-03-10;2024.03.11 06:00:00;28676;.11,9;1;3.1;3.1;1018,7
2024-03-10;2024.03.11 07:00:00;28676;.10,7;1;4.3;3.2;1019,4
2024-03-10;2024.03.11 08:00:00;28676;.9,3;1;5.5;2.6;1019,9
2024-03-10;2024.03.11 09:00:00;28676;.8,4;1;5.8;2.5;1020,4
2024-03-10;2024.03.11 10:00:00;28676;.8,1;1;5.7;2.9;1020,8
2024-03-10;2024.03.11 11:00:00;28676;.7,2;1;5.6;2.8;1021,2
2024-03-10;2024.03.11 12:00:00;28676;.6,9;1;5.3;2.9;1021,2
2024-03-10;2024.03.11 13:00:00;28676;.7;1;4.8;3.1;1021,2
